Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",21818925,997647648,2039,16,1,1,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",1022828093,132860706,68,16,1,30,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",1158332851,153047714,170,16,1,12,32,1,21,0,0,138.368,0.844,59.199
"matrixMulKernel(matrix, matrix, matrix)",1314070022,119840016,85,16,1,24,32,1,21,0,0,135.622,0.871,63.385
"matrixMulKernel(matrix, matrix, matrix)",1436556906,126545949,93,16,1,22,32,1,21,0,0,121.389,0.88,68.728
"matrixMulKernel(matrix, matrix, matrix)",1565742812,130171505,73,16,1,28,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",1698550529,204777695,292,16,1,7,32,1,21,0,0,127.069,0.8,67.883
"matrixMulKernel(matrix, matrix, matrix)",1905993043,140151656,114,16,1,18,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",2048814125,153076224,170,16,1,12,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",2204534945,359024723,680,16,1,3,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",2566495413,148496617,136,16,1,15,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",2717655985,130094550,73,16,1,28,32,1,21,0,0,137.355,0.908,59.822
"matrixMulKernel(matrix, matrix, matrix)",2850449656,473840809,1020,16,1,2,32,1,21,0,0,135.699,0.8,57.431
"matrixMulKernel(matrix, matrix, matrix)",3326959444,132241066,79,16,1,26,32,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",3462202811,134346626,102,16,1,20,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",3599281963,139178504,98,16,1,21,32,1,21,0,0,85.288,0.917,36.377
"matrixMulKernel(matrix, matrix, matrix)",3741244414,139187718,98,16,1,21,32,1,21,0,0,130.371,0.887,53.314
"matrixMulKernel(matrix, matrix, matrix)",3883111158,169628972,204,16,1,10,32,1,21,0,0,118.361,0.943,69.653
"matrixMulKernel(matrix, matrix, matrix)",4055385558,120298835,128,16,1,16,32,1,21,0,0,137.355,0.909,59.822
"matrixMulKernel(matrix, matrix, matrix)",4178310814,134370400,102,16,1,20,32,1,21,0,0,136.009,0.944,53.347
"matrixMulKernel(matrix, matrix, matrix)",4315384079,153157338,170,16,1,12,32,1,21,0,0,127.069,0.799,67.883
"matrixMulKernel(matrix, matrix, matrix)",4471189693,270522572,510,16,1,4,32,1,21,0,0,137.355,0.908,59.822
"matrixMulKernel(matrix, matrix, matrix)",4744368349,135037812,66,16,1,31,32,1,21,0,0,127.069,0.8,67.883
"matrixMulKernel(matrix, matrix, matrix)",4882058693,135503702,71,16,1,29,32,1,21,0,0,91.859,0.859,38.825
"matrixMulKernel(matrix, matrix, matrix)",5020217967,154194551,157,16,1,13,32,1,21,0,0,91.859,0.876,38.825
"matrixMulKernel(matrix, matrix, matrix)",5177087992,250258385,408,16,1,5,32,1,21,0,0,131.347,0.841,54.424
"matrixMulKernel(matrix, matrix, matrix)",5430036219,102680684,64,16,1,32,32,1,21,0,0,136.009,0.945,53.347
"matrixMulKernel(matrix, matrix, matrix)",5535385817,134220714,82,16,1,25,32,1,21,0,0,137.357,0.786,61.818
"matrixMulKernel(matrix, matrix, matrix)",5672232217,149755191,146,16,1,14,32,1,21,0,0,85.288,0.917,36.377
"matrixMulKernel(matrix, matrix, matrix)",5824634596,149680285,146,16,1,14,32,1,21,0,0,136.122,0.745,68.579
"matrixMulKernel(matrix, matrix, matrix)",5977158344,250222036,408,16,1,5,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",6230091005,142303027,120,16,1,17,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",6375013731,102477046,64,16,1,32,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",6480129643,120258625,128,16,1,16,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",6603036958,180408224,227,16,1,9,32,1,21,0,0,127.922,0.753,67.049
"matrixMulKernel(matrix, matrix, matrix)",6786132557,134337408,82,16,1,25,32,1,21,0,0,91.859,0.861,38.825
"matrixMulKernel(matrix, matrix, matrix)",6923125117,134367103,82,16,1,25,32,1,21,0,0,138.473,0.923,65.586
"matrixMulKernel(matrix, matrix, matrix)",7060209960,180436991,227,16,1,9,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",7243313079,135055537,66,16,1,31,32,1,21,0,0,163.736,0.988,69.494
"matrixMulKernel(matrix, matrix, matrix)",7381005274,102469974,64,16,1,32,32,1,21,0,0,85.288,0.934,36.377
"matrixMulKernel(matrix, matrix, matrix)",7486144672,139184321,98,16,1,21,32,1,21,0,0,120.698,0.929,69.545
"matrixMulKernel(matrix, matrix, matrix)",7628094250,153006576,170,16,1,12,32,1,21,0,0,136.009,0.991,82.002
"matrixMulKernel(matrix, matrix, matrix)",7783785641,140456749,108,16,1,19,32,1,21,0,0,163.736,0.989,69.494
"matrixMulKernel(matrix, matrix, matrix)",7926907014,473882972,1020,16,1,2,32,1,21,0,0,131.347,0.842,54.424
"matrixMulKernel(matrix, matrix, matrix)",8403573962,135282530,89,16,1,23,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",8541522364,154866742,157,16,1,13,32,1,21,0,0,136.009,0.942,53.347
"matrixMulKernel(matrix, matrix, matrix)",8699234486,149855392,146,16,1,14,32,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",8851757926,165812388,186,16,1,11,32,1,21,0,0,137.355,0.909,59.822
"matrixMulKernel(matrix, matrix, matrix)",9020242553,135275491,89,16,1,23,32,1,21,0,0,138.368,0.845,59.199
"matrixMulKernel(matrix, matrix, matrix)",9158201995,250119304,408,16,1,5,32,1,21,0,0,139.927,0.909,57.132
"matrixMulKernel(matrix, matrix, matrix)",9411108731,130102296,73,16,1,28,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",9543895234,136807261,71,16,1,29,32,1,21,0,0,127.069,0.799,67.883
"matrixMulKernel(matrix, matrix, matrix)",9683396877,102507124,64,16,1,32,32,1,21,0,0,137.355,0.907,59.822
"matrixMulKernel(matrix, matrix, matrix)",9788603279,140153441,114,16,1,18,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",9931403073,142290548,120,16,1,17,32,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",10076357381,180429119,227,16,1,9,32,1,21,0,0,135.622,0.871,63.385
"matrixMulKernel(matrix, matrix, matrix)",10259445044,134324513,102,16,1,20,32,1,21,0,0,127.069,0.799,67.883
"matrixMulKernel(matrix, matrix, matrix)",10396426438,250253376,408,16,1,5,32,1,21,0,0,137.355,0.909,59.822
"matrixMulKernel(matrix, matrix, matrix)",10649373172,204772889,292,16,1,7,32,1,21,0,0,123.798,0.905,50.658
"matrixMulKernel(matrix, matrix, matrix)",10856779359,130026045,73,16,1,28,32,1,21,0,0,63.538,0.704,28.738
"matrixMulKernel(matrix, matrix, matrix)",10989831124,270448139,510,16,1,4,32,1,21,0,0,120.698,0.929,69.545
"matrixMulKernel(matrix, matrix, matrix)",11263277976,165510770,186,16,1,11,32,1,21,0,0,163.736,0.989,69.494
"matrixMulKernel(matrix, matrix, matrix)",11431643885,180222951,227,16,1,9,32,1,21,0,0,85.288,0.919,36.377
"matrixMulKernel(matrix, matrix, matrix)",11614542051,142291279,120,16,1,17,32,1,21,0,0,121.389,0.865,68.728
"matrixMulKernel(matrix, matrix, matrix)",11759762672,140448360,108,16,1,19,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",11902811565,148578223,136,16,1,15,32,1,21,0,0,123.798,0.894,50.658
"matrixMulKernel(matrix, matrix, matrix)",12054055020,140480038,108,16,1,19,32,1,21,0,0,118.361,0.943,69.653
"matrixMulKernel(matrix, matrix, matrix)",12197216193,119834937,85,16,1,24,32,1,21,0,0,123.798,0.891,50.658
"matrixMulKernel(matrix, matrix, matrix)",12319792901,218940651,340,16,1,6,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",12541402015,250331442,408,16,1,5,32,1,21,0,0,139.927,0.911,57.132
"matrixMulKernel(matrix, matrix, matrix)",12794496603,219028005,340,16,1,6,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",13016225517,250276054,408,16,1,5,32,1,21,0,0,163.736,0.987,69.494
"matrixMulKernel(matrix, matrix, matrix)",13269289323,166638119,255,16,1,8,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",13438585827,169594532,204,16,1,10,32,1,21,0,0,139.927,0.911,57.132
"matrixMulKernel(matrix, matrix, matrix)",13610970830,120061834,128,16,1,16,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",13733929049,165922135,186,16,1,11,32,1,21,0,0,138.473,0.922,65.586
"matrixMulKernel(matrix, matrix, matrix)",13902702451,140450824,108,16,1,19,32,1,21,0,0,124.74,0.799,67.957
"matrixMulKernel(matrix, matrix, matrix)",14045906630,139187675,98,16,1,21,32,1,21,0,0,46.704,0.495,22.222
"matrixMulKernel(matrix, matrix, matrix)",14187719828,169621922,204,16,1,10,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",14360016165,270851112,510,16,1,4,32,1,21,0,0,121.389,0.871,68.728
"matrixMulKernel(matrix, matrix, matrix)",14633586297,135219234,66,16,1,31,32,1,21,0,0,131.347,0.838,54.424
"matrixMulKernel(matrix, matrix, matrix)",14771484682,140146172,114,16,1,18,32,1,21,0,0,118.361,0.942,69.653
"matrixMulKernel(matrix, matrix, matrix)",14914306837,250216442,408,16,1,5,32,1,21,0,0,46.704,0.495,22.222
"matrixMulKernel(matrix, matrix, matrix)",15167211709,180617165,227,16,1,9,32,1,21,0,0,85.288,0.934,36.377
"matrixMulKernel(matrix, matrix, matrix)",15350500665,997533667,2039,16,1,1,32,1,21,0,0,136.122,0.745,68.579
"matrixMulKernel(matrix, matrix, matrix)",16350790764,126534119,93,16,1,22,32,1,21,0,0,131.347,0.842,54.424
"matrixMulKernel(matrix, matrix, matrix)",16480007522,102619952,64,16,1,32,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",16585278563,135713417,76,16,1,27,32,1,21,0,0,139.927,0.911,57.132
"matrixMulKernel(matrix, matrix, matrix)",16723640510,140452944,108,16,1,19,32,1,21,0,0,138.473,0.922,65.586
"matrixMulKernel(matrix, matrix, matrix)",16866746111,136270405,71,16,1,29,32,1,21,0,0,127.069,0.799,67.883
"matrixMulKernel(matrix, matrix, matrix)",17005734161,140478127,108,16,1,19,32,1,21,0,0,46.704,0.495,22.222
"matrixMulKernel(matrix, matrix, matrix)",17148881903,204704420,292,16,1,7,32,1,21,0,0,124.74,0.798,67.957
"matrixMulKernel(matrix, matrix, matrix)",17356276865,270548621,510,16,1,4,32,1,21,0,0,63.538,0.702,28.738
"matrixMulKernel(matrix, matrix, matrix)",17629618133,204858617,292,16,1,7,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",17837170333,166603764,255,16,1,8,32,1,21,0,0,91.859,0.875,38.825
"matrixMulKernel(matrix, matrix, matrix)",18006430049,134480667,82,16,1,25,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",18143580684,119827553,85,16,1,24,32,1,21,0,0,121.389,0.874,68.728
"matrixMulKernel(matrix, matrix, matrix)",18266062110,135663372,71,16,1,29,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",18404627179,997551776,2039,16,1,1,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",19404968691,997612733,2039,16,1,1,32,1,21,0,0,120.698,0.929,69.545
"matrixMulKernel(matrix, matrix, matrix)",20405305852,474035264,1020,16,1,2,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",20882078407,250455034,408,16,1,5,32,1,21,0,0,130.949,0.69,66.085
"matrixMulKernel(matrix, matrix, matrix)",21135197553,140146341,114,16,1,18,32,1,21,0,0,163.736,0.988,69.494
"matrixMulKernel(matrix, matrix, matrix)",21277995143,126527495,93,16,1,22,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",21407197221,135292404,89,16,1,23,32,1,21,0,0,63.538,0.702,28.738
"matrixMulKernel(matrix, matrix, matrix)",21545133323,166552106,255,16,1,8,32,1,21,0,0,118.361,0.941,69.653
"matrixMulKernel(matrix, matrix, matrix)",21714325959,119739060,85,16,1,24,32,1,21,0,0,137.357,0.786,61.818
"matrixMulKernel(matrix, matrix, matrix)",21836688878,474159597,1020,16,1,2,32,1,21,0,0,120.698,0.93,69.545
"matrixMulKernel(matrix, matrix, matrix)",22313631524,135697562,66,16,1,31,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",22452000046,180621868,227,16,1,9,32,1,21,0,0,136.009,0.947,53.347
"matrixMulKernel(matrix, matrix, matrix)",22635243821,135290964,89,16,1,23,32,1,21,0,0,111.123,0.895,45.668
"matrixMulKernel(matrix, matrix, matrix)",22773240527,154296177,157,16,1,13,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",22930188338,135267221,89,16,1,23,32,1,21,0,0,111.123,0.897,45.668
"matrixMulKernel(matrix, matrix, matrix)",23068161109,154612477,157,16,1,13,32,1,21,0,0,85.288,0.917,36.377
"matrixMulKernel(matrix, matrix, matrix)",23225416739,140147509,114,16,1,18,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",23368194027,165892373,186,16,1,11,32,1,21,0,0,139.927,0.914,57.132
"matrixMulKernel(matrix, matrix, matrix)",23536740626,149783450,146,16,1,14,32,1,21,0,0,137.355,0.91,59.822
"matrixMulKernel(matrix, matrix, matrix)",23689246841,148519341,136,16,1,15,32,1,21,0,0,137.357,0.785,61.818
"matrixMulKernel(matrix, matrix, matrix)",23840493714,140481279,108,16,1,19,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",23983853971,204720793,292,16,1,7,32,1,21,0,0,163.736,0.987,69.494
"matrixMulKernel(matrix, matrix, matrix)",24191457263,474147213,1020,16,1,2,32,1,21,0,0,120.698,0.928,69.545
"matrixMulKernel(matrix, matrix, matrix)",24668241039,149644003,146,16,1,14,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",24820514245,120291568,128,16,1,16,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",24943430760,134430381,82,16,1,25,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",25080494152,148609703,136,16,1,15,32,1,21,0,0,133.356,0.677,65.86
"matrixMulKernel(matrix, matrix, matrix)",25231857146,270418995,510,16,1,4,32,1,21,0,0,91.859,0.859,38.825
"matrixMulKernel(matrix, matrix, matrix)",25505234411,180557039,227,16,1,9,32,1,21,0,0,46.704,0.495,22.222
